registro,tipo_doc,canal,cod_dispositivo,num_trx,mnt_total_trx
12993398,1,POS,14835797,1,7417898.5
93596051,1,POS,10668622,1,5334311.0
84174822,1,POS,14962260,1,7481130.0
77113723,1,POS,14474746,1,7237373.0
71999440,1,POS,11815180,2,11815180.0
15496517,1,POS,13284518,1,6642259.0
91173293,1,POS,11867314,1,5933657.0
94528580,1,POS,13021282,1,6510641.0
13844317,1,POS,14214894,1,7107447.0
67742182,2,POS,12445185,1,6222592.5
68259391,1,POS,12302378,3,18453567.0
90137402,1,POS,10313773,1,5156886.5
29680997,1,POS,10327682,11,56802251.0
23443733,1,POS,14008353,2,14008353.0
88111165,1,POS,13630363,2,13630363.0
75281124,1,POS,13441050,1,6720525.0
15037553,1,POS,11940665,11,65673657.5
26599844,1,POS,14311997,1,7155998.5
75283851,1,POS,14607196,1,7303598.0
91331339,1,POS,12866471,1,6433235.5
74034620,1,POS,11608452,2,11608452.0
90043312,1,POS,12810560,1,6405280.0
99320978,1,POS,15213341,1,7606670.5
69111384,1,POS,15213341,1,7606670.5
91700224,1,POS,13015987,1,6507993.5
72410149,1,POS,15254519,1,7627259.5
19937216,1,POS,14867923,3,22301884.5
15583873,1,POS,14353692,1,7176846.0
97748943,1,POS,10778520,1,5389260.0
66217918,1,POS,12419040,1,6209520.0
87605577,1,POS,14427488,3,21641232.0
68534984,1,POS,13167382,1,6583691.0
64936251,1,POS,10313583,2,10313583.0
25277916,1,POS,11815180,3,17722770.0
80851407,1,POS,13190616,1,6595308.0
63613299,1,POS,13896956,3,20845434.0
69241333,1,POS,15251556,2,15251556.0
68333923,1,POS,12717039,1,6358519.5
69895881,1,POS,15593536,1,7796768.0
70872648,1,POS,13413984,1,6706992.0
72268046,1,POS,14752851,1,7376425.5
16478411,1,POS,10305233,1,5152616.5
67234138,1,POS,14292130,1,7146065.0
25249958,1,POS,14001291,2,14001291.0
72707308,1,POS,13575071,10,67875355.0
63935338,1,POS,11475787,1,5737893.5
81948409,1,POS,14405559,1,7202779.5
69627046,2,POS,10313583,13,67038289.5
81538687,1,POS,13318233,1,6659116.5
67839571,1,POS,12561528,2,12561528.0
71466490,1,POS,10666576,2,10666576.0
70002136,1,POS,14292130,1,7146065.0
63677789,1,POS,11790706,1,5895353.0
12766506,1,POS,14292130,1,7146065.0
64311261,1,POS,15322241,1,7661120.5
64827365,1,POS,14326664,1,7163332.0
12694040,1,POS,14015341,24,168184092.0
75118113,1,POS,12302378,2,12302378.0
66481075,1,POS,14408041,36,259344738.0
81090555,1,POS,14215370,1,7107685.0
79877224,1,POS,13252663,1,6626331.5
60212449,1,POS,15084791,6,45254373.0
25901559,1,POS,10932812,1,5466406.0
12993398,1,POS,11174554,1,5587277.0
78857216,1,POS,10577138,1,5288569.0
63613299,1,POS,14227300,2,14227300.0
15432708,1,POS,13425566,1,6712783.0
97108326,1,POS,13046479,1,6523239.5
68333923,1,POS,11561842,1,5780921.0
77321041,1,POS,15756968,1,7878484.0
18483627,1,POS,11587953,1,5793976.5
90684618,1,POS,10531317,1,5265658.5
85170275,1,POS,11531308,1,5765654.0
64287898,1,POS,11303609,1,5651804.5
18975661,1,POS,12993333,3,19489999.5
80981874,1,POS,12445185,1,6222592.5
22549565,1,POS,11101714,1,5550857.0
25554709,1,POS,15528193,1,7764096.5
70228527,1,POS,15390644,1,7695322.0
10436221,1,POS,14185227,1,7092613.5
13497879,1,POS,10932812,1,5466406.0
94877668,1,POS,11857968,2,11857968.0
23759122,1,POS,11475811,1,5737905.5
11470588,1,POS,15084791,4,30169582.0
62984335,1,POS,10765170,1,5382585.0
15716647,1,POS,12547568,1,6273784.0
20287325,1,POS,14292130,3,21438195.0
68292106,1,POS,13333372,3,20000058.0
70262759,1,POS,12370557,4,24741114.0
75782642,1,POS,14564538,3,21846807.0
88914322,1,POS,11152808,2,11152808.0
18138185,1,POS,14292130,5,35730325.0
15716647,1,POS,11303609,4,22607218.0
22274517,1,POS,11843760,1,5921880.0
12678296,1,POS,13472063,1,6736031.5
16303893,1,POS,13947387,1,6973693.5
91712873,1,POS,11614500,12,69687000.0
73083512,1,POS,12481628,2,12481628.0
20298265,1,POS,13704093,2,13704093.0
67903132,1,POS,10853612,2,10853612.0
91385200,1,POS,13947387,2,13947387.0
77897221,1,POS,11127065,3,16690597.5
12515913,1,POS,13834924,2,13834924.0
90258401,1,POS,12494324,1,6247162.0
25059235,1,POS,12866471,1,6433235.5
26477798,1,POS,13904826,1,6952413.0
18483627,1,POS,11576899,2,11576899.0
27119035,1,POS,11646221,1,5823110.5
12294879,1,POS,13509625,1,6754812.5
13497879,1,POS,12851234,1,6425617.0
24546407,1,POS,15190762,1,7595381.0
17773602,1,POS,12443917,8,49775668.0
74568868,1,POS,10005353,1,5002676.5
11361637,1,POS,14828800,1,7414400.0
73582615,1,POS,10577138,4,21154276.0
92552863,1,POS,13388699,4,26777398.0
23952973,1,POS,12660536,3,18990804.0
83868510,1,POS,12995585,2,12995585.0
11989818,1,POS,10599355,1,5299677.5
18920437,1,POS,13293782,1,6646891.0
83501071,1,POS,14157499,1,7078749.5
61641859,1,POS,12057535,1,6028767.5
99829115,1,POS,15399314,1,7699657.0
63339322,1,POS,11278132,1,5639066.0
80015189,1,POS,13113303,3,19669954.5
77240090,1,POS,14667364,1,7333682.0
91419087,1,POS,10305233,3,15457849.5
16334248,1,POS,11303609,2,11303609.0
27649658,1,POS,10577138,1,5288569.0
73092913,1,POS,14699581,2,14699581.0
26513925,1,POS,14634901,2,14634901.0
72661161,1,POS,15322191,1,7661095.5
77241420,1,POS,11017951,6,33053853.0
12945434,1,POS,14740583,1,7370291.5
73567080,1,POS,13318241,17,113205048.5
83641266,2,POS,15266224,1,7633112.0
98439744,1,POS,13449566,1,6724783.0
65266843,1,POS,14326649,1,7163324.5
11843238,1,POS,13350616,1,6675308.0
13844317,1,POS,14594907,1,7297453.5
74084626,1,POS,11884632,1,5942316.0
10586441,1,POS,10917235,1,5458617.5
90619944,1,POS,11096278,1,5548139.0
74814112,1,POS,14616627,2,14616627.0
12535531,1,POS,11079308,1,5539654.0
14796468,1,POS,11646254,1,5823127.0
79798539,1,POS,12501656,1,6250828.0
80034926,1,POS,12343885,3,18515827.5
60835149,1,POS,14371512,1,7185756.0
73422116,1,POS,13333372,2,13333372.0
15000573,1,POS,11475787,2,11475787.0
12719071,1,POS,11241304,1,5620652.0
85952831,1,POS,12779377,5,31948442.5
81496631,1,POS,10604916,3,15907374.0
70380778,1,POS,13472063,6,40416189.0
75055387,1,POS,13583984,1,6791992.0
84044116,1,POS,12866471,3,19299706.5
73725698,1,POS,13853106,2,13853106.0
17340989,1,POS,11034238,2,11034238.0
83251456,1,POS,13508056,1,6754028.0
28817420,1,POS,10336139,2,10336139.0
75713796,1,POS,14769624,1,7384812.0
87634677,1,POS,14374482,1,7187241.0
93545244,1,POS,11807948,1,5903974.0
18389572,1,POS,15443005,1,7721502.5
97697079,1,POS,11540085,8,46160340.0
66740317,1,POS,12302436,6,36907308.0
29318457,1,POS,13706023,1,6853011.5
90843345,1,POS,10336139,2,10336139.0
69804443,1,POS,10321651,2,10321651.0
24546407,1,POS,13961214,1,6980607.0
70254527,1,POS,14732606,1,7366303.0
14103870,1,POS,13901442,2,13901442.0
92051659,1,POS,10773448,1,5386724.0
85888215,1,POS,12383030,2,12383030.0
76106429,1,POS,14791388,1,7395694.0
67019953,1,POS,10964559,1,5482279.5
89799288,1,POS,11531308,2,11531308.0
98921697,1,POS,13807300,1,6903650.0
76670511,1,POS,13762901,2,13762901.0
11601400,1,POS,15624679,3,23437018.5
93596051,1,POS,15288764,1,7644382.0
71294465,1,POS,12363917,13,80365460.5
14352480,1,POS,11308996,1,5654498.0
71797250,1,POS,12651303,2,12651303.0
74971321,1,POS,11940632,3,17910948.0
87887779,1,POS,12997854,1,6498927.0
74772176,1,POS,14647986,4,29295972.0
84716019,1,POS,10543924,2,10543924.0
79858962,1,POS,10925808,1,5462904.0
22759577,1,POS,14164636,1,7082318.0
14726766,1,POS,15476294,1,7738147.0
75459403,1,POS,10804888,1,5402444.0
26964474,1,POS,14667166,1,7333583.0
89203996,1,POS,14945067,1,7472533.5
74026138,1,POS,13944848,1,6972424.0
78073907,1,POS,11241304,2,11241304.0
89038053,1,POS,11967114,1,5983557.0
67903132,1,POS,10602407,3,15903610.5
24646712,1,POS,15443005,2,15443005.0
11989818,1,POS,10313583,1,5156791.5
18990096,1,POS,10922920,1,5461460.0
23394921,2,POS,11493608,1,5746804.0
98908570,1,POS,10790590,4,21581180.0
71896565,1,POS,11601689,12,69610134.0
12294879,1,POS,11058765,1,5529382.5
20414756,1,POS,13293782,11,73115801.0
73169140,1,POS,12896338,7,45137183.0
70981064,1,POS,13575071,5,33937677.5
75869333,1,POS,10599348,7,37097718.0
74396468,1,POS,11322609,1,5661304.5
16799146,1,POS,11287232,2,11287232.0
11480300,1,POS,10321651,6,30964953.0
94043945,1,POS,11810314,1,5905157.0
66764726,1,POS,14588503,2,14588503.0
17773602,1,POS,11761327,1,5880663.5
18331927,1,POS,11544038,2,11544038.0
13769780,1,POS,11096278,4,22192556.0
27301566,1,POS,13969100,1,6984550.0
70142804,1,POS,12176368,1,6088184.0
19100984,1,POS,11306693,6,33920079.0
19935079,1,POS,13557186,1,6778593.0
91167852,1,POS,10305233,6,30915699.0
22981355,1,POS,12801205,1,6400602.5
70169547,1,POS,11645512,4,23291024.0
19979548,1,POS,13411749,1,6705874.5
80728635,1,POS,10666576,4,21333152.0
82020533,1,POS,10305233,4,20610466.0
60755311,1,POS,12370490,7,43296715.0
83798235,1,POS,15213341,1,7606670.5
76030131,1,POS,14047427,1,7023713.5
93984360,1,POS,10911550,1,5455775.0
29883131,1,POS,10932812,2,10932812.0
12012742,1,POS,11531308,7,40359578.0
88292685,1,POS,14787840,1,7393920.0
14776239,1,POS,10327682,3,15491523.0
22746258,1,POS,15555923,2,15555923.0
14579793,1,POS,11863180,1,5931590.0
70451124,1,POS,12487039,2,12487039.0
22274517,1,POS,10315497,1,5157748.5
94604808,1,POS,13614904,3,20422356.0
15787567,1,POS,12351425,1,6175712.5
74837274,1,POS,12683918,2,12683918.0
65340554,1,POS,10853612,1,5426806.0
98293818,1,POS,10936623,4,21873246.0
15727962,1,POS,12892113,4,25784226.0
74574634,1,POS,11081841,2,11081841.0
61683913,1,POS,14540827,1,7270413.5
12515913,1,POS,13989058,1,6994529.0
16874995,1,POS,11279189,1,5639594.5
17162059,1,POS,11488889,1,5744444.5
25934030,1,POS,13413984,1,6706992.0
19464206,1,POS,11601705,2,11601705.0
71079436,1,POS,14647986,1,7323993.0
80015189,1,POS,13762968,1,6881484.0
15000573,1,POS,14407654,1,7203827.0
90171029,1,POS,10300077,1,5150038.5
87014772,1,POS,12946489,1,6473244.5
65846057,1,POS,13425566,1,6712783.0
12515913,1,POS,12419040,1,6209520.0
71157591,1,POS,11303609,1,5651804.5
93596051,1,POS,13301445,1,6650722.5
91943613,1,POS,14466668,1,7233334.0
75983914,1,POS,11210523,1,5605261.5
90923540,1,POS,12078598,1,6039299.0
73736321,1,POS,15313620,1,7656810.0
90846713,1,POS,14819494,2,14819494.0
89799288,1,POS,10301604,1,5150802.0
26188698,1,POS,10005692,4,20011384.0
25900616,1,POS,13706023,8,54824092.0
17773602,1,POS,12336665,2,12336665.0
13001489,1,POS,13441050,1,6720525.0
64339912,1,POS,11397643,3,17096464.5
21441460,1,POS,14384945,1,7192472.5
92994206,1,POS,13336474,3,20004711.0
13497879,1,POS,15082902,1,7541451.0
27851806,1,POS,13508056,2,13508056.0
87289757,1,POS,11034238,1,5517119.0
67019953,1,POS,13098728,2,13098728.0
74542004,2,POS,10311355,1,5155677.5
77884023,1,POS,11950110,1,5975055.0
13844317,1,POS,10005445,2,10005445.0
76457019,1,POS,11341260,1,5670630.0
84395889,1,POS,13033931,2,13033931.0
75667775,1,POS,11303609,1,5651804.5
60312931,1,POS,12594834,2,12594834.0
85308075,1,POS,14440994,1,7220497.0
61880065,1,POS,14545669,1,7272834.5
19181819,1,POS,12359782,1,6179891.0
14579793,1,POS,14047427,3,21071140.5
76606850,1,POS,15276504,1,7638252.0
23253772,1,POS,11303609,1,5651804.5
98574269,1,POS,10604916,4,21209832.0
65931186,1,POS,14215370,1,7107685.0
67315842,1,POS,13834924,2,13834924.0
13446253,1,POS,10327682,2,10327682.0
67743277,1,POS,13333372,11,73333546.0
74433914,1,POS,14137830,1,7068915.0
16391514,1,POS,11174554,1,5587277.0
24224418,1,POS,10297240,1,5148620.0
75995667,1,POS,13335344,1,6667672.0
60399558,1,POS,12343885,2,12343885.0
10751993,1,POS,14015358,3,21023037.0
90619944,1,POS,12351425,1,6175712.5
92712420,1,POS,11601697,60,348050910.0
29680997,1,POS,12121141,4,24242282.0
64100937,1,POS,14310130,1,7155065.0
72960808,1,POS,10318277,1,5159138.5
83019443,1,POS,11950110,2,11950110.0
85409067,1,POS,10789261,1,5394630.5
80034926,1,POS,12971628,3,19457442.0
12891225,1,POS,10766384,3,16149576.0
74358519,1,POS,13318241,3,19977361.5
82229442,1,POS,15279474,1,7639737.0
15583873,1,POS,12302402,1,6151201.0
74221007,1,POS,14270268,1,7135134.0
94195097,1,POS,11475811,1,5737905.5
23373412,1,POS,12905402,1,6452701.0
71610560,1,POS,14310080,1,7155040.0
75116899,1,POS,11645512,2,11645512.0
77949223,1,POS,11254026,1,5627013.0
78130568,1,POS,13768700,1,6884350.0
69852689,1,POS,10602407,9,47710831.5
74814112,1,POS,10321651,3,15482476.5
28331845,1,POS,10303030,2,10303030.0
76466103,1,POS,15322399,1,7661199.5
89408898,2,POS,12475026,1,6237513.0
95072173,1,POS,12609731,1,6304865.5
73507175,1,POS,12485389,1,6242694.5
78855601,1,POS,10327682,12,61966092.0
22979217,1,POS,11857968,8,47431872.0
74266463,1,POS,10932812,1,5466406.0
13027991,1,POS,13743562,1,6871781.0
87354331,1,POS,13145198,1,6572599.0
10103930,1,POS,13113303,1,6556651.5
75995667,1,POS,15589922,2,15589922.0
76687456,1,POS,14024426,1,7012213.0
16601263,1,POS,15322191,1,7661095.5
98305674,1,POS,12265336,1,6132668.0
17718914,1,POS,14508402,3,21762603.0
72733785,1,POS,14221626,3,21332439.0
12357811,1,POS,15287022,1,7643511.0
70181923,1,POS,14264048,7,49924168.0
88070532,1,POS,10973352,1,5486676.0
16676213,1,POS,14540827,1,7270413.5
18389572,1,POS,11507522,2,11507522.0
96083692,1,POS,11940632,1,5970316.0
13344040,1,POS,12152047,1,6076023.5
79639035,1,POS,11821030,2,11821030.0
80959072,1,POS,11732088,2,11732088.0
93593213,1,POS,11395803,17,96864325.5
12766506,1,POS,14323208,1,7161604.0
70451124,1,POS,13147533,1,6573766.5
90996043,1,POS,11279189,1,5639594.5
76713451,1,POS,12528105,1,6264052.5
18571690,1,POS,14089429,1,7044714.5
79630946,1,POS,15353998,1,7676999.0
74772176,1,POS,15092760,1,7546380.0
91306696,1,POS,10707982,1,5353991.0
93058232,1,POS,14388938,1,7194469.0
76832087,1,POS,14540827,2,14540827.0
75281124,1,POS,11475787,2,11475787.0
72870915,1,POS,13706023,1,6853011.5
89059001,1,POS,15476294,1,7738147.0
22150158,1,POS,14089429,1,7044714.5
79329274,1,POS,14015341,1,7007670.5
26964474,1,POS,11518420,1,5759210.0
98002323,1,POS,15346539,1,7673269.5
83834076,1,POS,10853612,2,10853612.0
17462590,1,POS,10315497,1,5157748.5
20890240,1,POS,11399177,2,11399177.0
75340724,1,POS,11749991,1,5874995.5
29680997,1,POS,11111788,1,5555894.0
16713599,1,POS,13282439,1,6641219.5
91645282,1,POS,10328573,1,5164286.5
23103966,1,POS,12679510,2,12679510.0
13809941,1,POS,15146574,1,7573287.0
79303545,1,POS,11857968,1,5928984.0
71896565,1,POS,14446587,2,14446587.0
16800825,1,POS,13066543,1,6533271.5
72400405,1,POS,13293782,7,46528237.0
88292685,1,POS,14862593,1,7431296.5
20880030,1,POS,14354815,1,7177407.5
83251456,1,POS,12343885,1,6171942.5
13846066,1,POS,13502711,1,6751355.5
12993398,1,POS,12370490,1,6185245.0
96903628,1,POS,14886675,1,7443337.5
67839571,1,POS,14994693,1,7497346.5
24546407,1,POS,11909074,1,5954537.0
24506484,1,POS,12962452,1,6481226.0
16601263,1,POS,12545596,1,6272798.0
90647721,1,POS,11341260,1,5670630.0
64311261,1,POS,14266936,2,14266936.0
68619844,1,POS,13425566,2,13425566.0
91421814,1,POS,14557672,1,7278836.0
21897129,1,POS,11072188,1,5536094.0
89852009,1,POS,13956586,1,6978293.0
76946468,1,POS,14299911,1,7149955.5
91209590,1,POS,14321772,1,7160886.0
98060435,1,POS,11322609,1,5661304.5
70254527,1,POS,11258746,2,11258746.0
94543129,1,POS,10602407,1,5301203.5
78453795,1,POS,14867162,5,37167905.0
92272103,1,POS,15337769,3,23006653.5
10826747,1,POS,11475795,1,5737897.5
69627046,2,POS,15413578,1,7706789.0
73201695,1,POS,13896956,4,27793912.0
67742182,2,POS,11303609,3,16955413.5
70228527,1,POS,14867923,1,7433961.5
76502789,1,POS,15020928,1,7510464.0
11859342,1,POS,11239886,1,5619943.0
90171029,1,POS,14961262,1,7480631.0
22110539,1,POS,10530848,1,5265424.0
61083818,1,POS,10313583,1,5156791.5
65672821,1,POS,15109986,1,7554993.0
64623059,1,POS,13670377,2,13670377.0
11480300,1,POS,10316214,3,15474321.0
66445363,1,POS,14227300,1,7113650.0
94883646,1,POS,12351425,4,24702850.0
64623059,1,POS,11561834,4,23123668.0
68648427,1,POS,11863875,1,5931937.5
68394648,1,POS,14540827,1,7270413.5
17803237,1,POS,15238827,1,7619413.5
68259391,1,POS,10602407,2,10602407.0
18025254,1,POS,14310130,1,7155065.0
18581949,1,POS,14540827,1,7270413.5
26188698,1,POS,14993620,4,29987240.0
14128881,1,POS,14524102,2,14524102.0
77702755,1,POS,14015341,1,7007670.5
66217918,1,POS,13325428,1,6662714.0
18025254,1,POS,13333372,3,20000058.0
60835149,1,POS,12993333,1,6496666.5
90622247,1,POS,13992078,4,27984156.0
16636394,1,POS,12705331,2,12705331.0
71600549,1,POS,11096278,3,16644417.0
25403883,1,POS,11293412,1,5646706.0
71367839,1,POS,15476344,1,7738172.0
17706874,1,POS,12137576,4,24275152.0
28433773,1,POS,12498234,1,6249117.0
74619367,1,POS,14221535,1,7110767.5
67651827,1,POS,14015358,1,7007679.0
73944841,1,POS,10313583,1,5156791.5
97686350,1,POS,12660536,2,12660536.0
79630946,1,POS,14474746,3,21712119.0
60716394,1,POS,15303464,1,7651732.0
63739191,1,POS,13190616,4,26381232.0
66676010,1,POS,10666576,2,10666576.0
27119035,1,POS,11475787,1,5737893.5
21443296,1,POS,14154868,1,7077434.0
12719071,1,POS,13684766,1,6842383.0
78819979,1,POS,14446587,2,14446587.0
10299209,1,POS,14014948,1,7007474.0
18737018,1,POS,12374708,1,6187354.0
74396468,1,POS,13823117,1,6911558.5
73567080,1,POS,14960454,2,14960454.0
10702365,1,POS,14772974,2,14772974.0
97950546,1,POS,14215370,2,14215370.0
13446253,1,POS,14787840,1,7393920.0
26477798,1,POS,13000112,1,6500056.0
77926499,1,POS,14179873,1,7089936.5
88726987,1,POS,13402425,1,6701212.5
64110743,1,POS,10609329,1,5304664.5
94028582,1,POS,12370490,1,6185245.0
96345596,1,POS,10313583,1,5156791.5
27929952,1,POS,15163652,1,7581826.0
97108326,1,POS,13956677,1,6978338.5
72268046,1,POS,11303609,1,5651804.5
92994206,1,POS,15360514,1,7680257.0
60576845,1,POS,11938081,1,5969040.5
74542004,2,POS,12800025,4,25600050.0
11326581,1,POS,14398903,2,14398903.0
74772176,1,POS,10773455,1,5386727.5
79229411,1,POS,10305258,2,10305258.0
18645016,1,POS,15390560,2,15390560.0
97686350,1,POS,14141758,1,7070879.0
77394096,1,POS,12370631,7,43297208.5
25900616,1,POS,10530848,1,5265424.0
24732721,1,POS,10336139,2,10336139.0
83868510,1,POS,15336456,1,7668228.0
79808439,1,POS,14311997,2,14311997.0
69852689,1,POS,14433619,1,7216809.5
93851394,1,POS,10602407,1,5301203.5
62207027,1,POS,11279189,4,22558378.0
90137402,1,POS,10327682,4,20655364.0
87605577,1,POS,10301604,2,10301604.0
17442595,1,POS,10525699,2,10525699.0
76196118,1,POS,11057742,1,5528871.0
90043312,1,POS,14321772,2,14321772.0
78777311,1,POS,11105061,1,5552530.5
87085827,1,POS,10316214,2,10316214.0
71294465,1,POS,10621936,1,5310968.0
74772176,1,POS,11576899,13,75249843.5
93414051,1,POS,14540827,2,14540827.0
15983990,1,POS,10636967,2,10636967.0
16624754,1,POS,13575071,4,27150142.0
77718582,1,POS,14085252,1,7042626.0
82775109,1,POS,14540827,2,14540827.0
19464206,1,POS,13218532,1,6609266.0
81538687,1,POS,10604916,1,5302458.0
25010998,1,POS,15110901,2,15110901.0
91282155,1,POS,12651964,1,6325982.0
24002061,1,POS,10602407,2,10602407.0
99809863,1,POS,10818391,1,5409195.5
17773602,1,POS,11601705,1,5800852.5
18214150,1,POS,11241304,3,16861956.0
77005910,1,POS,11645512,2,11645512.0
76898127,1,POS,15236201,1,7618100.5
22031034,1,POS,10773455,2,10773455.0
62829509,1,POS,13388699,5,33471747.5
79743721,1,POS,14154868,3,21232302.0
16943886,1,POS,15322332,1,7661166.0
92552863,1,POS,12302386,1,6151193.0
76365236,1,POS,15056203,1,7528101.5
81684703,1,POS,13282439,5,33206097.5
88487618,1,POS,12439873,180,1119588570.0
11033236,1,POS,13577176,1,6788588.0
88198415,1,POS,13336474,2,13336474.0
78898842,1,POS,11732088,1,5866044.0
78629220,1,POS,11096278,2,11096278.0
15022870,1,POS,14540827,1,7270413.5
15591387,1,POS,14455810,1,7227905.0
88124683,1,POS,12971628,1,6485814.0
77283102,1,POS,12971628,1,6485814.0
91284421,1,POS,10520781,2,10520781.0
14066428,1,POS,12433801,1,6216900.5
22903155,1,POS,11890746,1,5945373.0
25277916,1,POS,15177066,1,7588533.0
15967375,1,POS,15691371,1,7845685.5
12719071,1,POS,14960439,1,7480219.5
76670511,1,POS,11322609,6,33967827.0
65325472,1,POS,12412342,1,6206171.0
93151660,1,POS,14178230,1,7089115.0
78413455,1,POS,14518682,1,7259341.0
63339322,1,POS,14490957,1,7245478.5
73188867,2,POS,11303609,5,28259022.5
91092600,1,POS,12272415,1,6136207.5
61728251,1,POS,12082319,3,18123478.5
94076679,1,POS,14540827,1,7270413.5
91413716,1,POS,12642880,1,6321440.0
20773865,1,POS,12370524,1,6185262.0
26181142,1,POS,13575071,2,13575071.0
11978885,1,POS,14773394,1,7386697.0
68948007,1,POS,10577138,2,10577138.0
72548639,1,POS,13614904,1,6807452.0
89408898,2,POS,14351563,2,14351563.0
22110539,1,POS,10997070,2,10997070.0
12842611,1,POS,15020928,1,7510464.0
70494048,1,POS,11732088,14,82124616.0
70960123,1,POS,10336139,1,5168069.5
90789820,1,POS,12732608,1,6366304.0
91821739,1,POS,13383500,1,6691750.0
78019560,1,POS,15138993,1,7569496.5
72880697,1,POS,12962114,2,12962114.0
95242010,1,POS,10773455,2,10773455.0
11593919,1,POS,11303609,1,5651804.5
87258130,1,POS,10321651,1,5160825.5
87538578,1,POS,13762968,2,13762968.0
79005267,1,POS,14388938,1,7194469.0
17535858,1,POS,14544027,1,7272013.5
28528937,1,POS,12302436,2,12302436.0
16969120,1,POS,13575071,1,6787535.5
25764120,1,POS,12679510,1,6339755.0
61365974,1,POS,14096267,1,7048133.5
15619993,1,POS,12512539,1,6256269.5
17454455,1,POS,11764347,1,5882173.5
10221462,1,POS,14221626,1,7110813.0
22110539,1,POS,14799241,1,7399620.5
72906085,1,POS,11416096,1,5708048.0
77961308,1,POS,14540827,2,14540827.0
18284275,1,POS,13814801,3,20722201.5
67315842,1,POS,14326664,3,21489996.0
28182800,1,POS,12971628,1,6485814.0
78390681,1,POS,12859252,1,6429626.0
73015853,1,POS,15375439,2,15375439.0
18616640,1,POS,13262977,3,19894465.5
24268829,1,POS,12182556,3,18273834.0
73832719,1,POS,11610755,1,5805377.5
79823061,1,POS,13388731,1,6694365.5
94038335,1,POS,11080207,1,5540103.5
73725698,1,POS,13393830,1,6696915.0
73736321,1,POS,15642622,1,7821311.0
29680997,1,POS,10316214,1,5158107.0
88292685,1,POS,12170064,1,6085032.0
92534784,1,POS,14564538,1,7282269.0
87015207,1,POS,14513337,2,14513337.0
60960760,1,POS,14544027,1,7272013.5
60230494,1,POS,12779393,1,6389696.5
69053265,1,POS,11857968,2,11857968.0
10785872,1,POS,14326649,2,14326649.0
63726032,1,POS,11641644,1,5820822.0
73182217,1,POS,10316305,1,5158152.5
76732853,1,POS,15213341,2,15213341.0
88121776,1,POS,12333068,1,6166534.0
